Treatment,Concentration ,Days post infection,Insect.Species,Mortality,Wastes,Replicates
M.pingshaense,C1,12,C.butyrospermi,0,21.8,5
M.pingshaense,C1,12,FAW,1,4.6,1
M.pingshaense,C1,12,FAW,0,12.68,2
M.pingshaense,C1,12,FAW,0,14,3
M.pingshaense,C1,12,FAW,1,10.8,4
M.pingshaense,C1,12,FAW,0,8.8,5
Metarhizium sp.FAW,C1,12,C.butyrospermi,2,3,1
Metarhizium sp.FAW,C1,12,C.butyrospermi,1,3.29,2
Metarhizium sp.FAW,C1,12,C.butyrospermi,0,0,3
Metarhizium sp.FAW,C1,12,C.butyrospermi,0,0,4
Metarhizium sp.FAW,C1,12,C.butyrospermi,0,0,5
Metarhizium sp.FAW,C1,12,FAW,0,0,1
Metarhizium sp.FAW,C1,12,FAW,0,0,2
Metarhizium sp.FAW,C1,12,FAW,0,0,3
Metarhizium sp.FAW,C1,12,FAW,0,0,4
Metarhizium sp.FAW,C1,12,FAW,0,0,5
Trichoderma sp.FAW,C1,12,C.butyrospermi,1,0,1
Trichoderma sp.FAW,C1,12,C.butyrospermi,0,0,2
Trichoderma sp.FAW,C1,12,C.butyrospermi,0,0,3
Trichoderma sp.FAW,C1,12,C.butyrospermi,0,0,4
Trichoderma sp.FAW,C1,12,C.butyrospermi,0,0,5
Trichoderma sp.FAW,C1,12,FAW,0,0,1
Trichoderma sp.FAW,C1,12,FAW,1,0,2
Trichoderma sp.FAW,C1,12,FAW,0,0,3
Trichoderma sp.FAW,C1,12,FAW,0,0,4
Trichoderma sp.FAW,C1,12,FAW,0,0,5
Control,Control,13,C.butyrospermi,1,18.6,1
Control,Control,13,C.butyrospermi,0,19.5,2
Control,Control,13,C.butyrospermi,0,18.7,3
Control,Control,13,C.butyrospermi,2,20.1,4
Control,Control,13,C.butyrospermi,1,24.2,5
Control,Control,13,FAW,0,16.7,1
Control,Control,13,FAW,1,15.6,2
Control,Control,13,FAW,0,13.1,3
Control,Control,13,FAW,0,12.4,4
Control,Control,13,FAW,0,14.2,5
M.pingshaense,C1,13,C.butyrospermi,0,8.7,1
M.pingshaense,C1,13,C.butyrospermi,0,19.06,2
M.pingshaense,C1,13,C.butyrospermi,0,14.9,3
M.pingshaense,C1,13,C.butyrospermi,0,22.1,4
M.pingshaense,C1,13,C.butyrospermi,0,22.1,5
M.pingshaense,C1,13,FAW,0,4.7,1
M.pingshaense,C1,13,FAW,0,12.66,2
M.pingshaense,C1,13,FAW,0,13.9,3
M.pingshaense,C1,13,FAW,0,10.3,4
M.pingshaense,C1,13,FAW,0,9.9,5
Metarhizium sp.FAW,C1,13,C.butyrospermi,0,0,1
Metarhizium sp.FAW,C1,13,C.butyrospermi,0,3.1,2
Metarhizium sp.FAW,C1,13,C.butyrospermi,0,0,3
Metarhizium sp.FAW,C1,13,C.butyrospermi,0,0,4
Metarhizium sp.FAW,C1,13,C.butyrospermi,0,0,5
Metarhizium sp.FAW,C1,13,FAW,0,0,1
Metarhizium sp.FAW,C1,13,FAW,0,0,2
Metarhizium sp.FAW,C1,13,FAW,0,0,3
Metarhizium sp.FAW,C1,13,FAW,1,0,4
Metarhizium sp.FAW,C1,13,FAW,0,0,5
Trichoderma sp.FAW,C1,13,C.butyrospermi,0,0,1
Trichoderma sp.FAW,C1,13,C.butyrospermi,1,0,2
Trichoderma sp.FAW,C1,13,C.butyrospermi,0,0,3
Trichoderma sp.FAW,C1,13,C.butyrospermi,0,0,4
Trichoderma sp.FAW,C1,13,C.butyrospermi,0,0,5
Trichoderma sp.FAW,C1,13,FAW,0,0,1
Trichoderma sp.FAW,C1,13,FAW,0,0,2
Trichoderma sp.FAW,C1,13,FAW,1,0,3
Trichoderma sp.FAW,C1,13,FAW,0,0,4
Trichoderma sp.FAW,C1,13,FAW,0,0,5
Control,Control,14,C.butyrospermi,0,18.1,1
Control,Control,14,C.butyrospermi,0,19.4,2
Control,Control,14,C.butyrospermi,0,18.7,3
Control,Control,14,C.butyrospermi,0,20.2,4
Control,Control,14,C.butyrospermi,0,24.3,5
Control,Control,14,FAW,0,16.6,1
Control,Control,14,FAW,0,15.3,2
Control,Control,14,FAW,0,12.9,3
Control,Control,14,FAW,0,12.6,4
Control,Control,14,FAW,0,14.3,5
M.pingshaense,C1,14,C.butyrospermi,0,8.9,1
M.pingshaense,C1,14,C.butyrospermi,0,18.9,2
M.pingshaense,C1,14,C.butyrospermi,0,14.6,3
M.pingshaense,C1,14,C.butyrospermi,2,21.4,4
M.pingshaense,C1,14,C.butyrospermi,1,21.9,5
M.pingshaense,C1,14,FAW,1,4.2,1
M.pingshaense,C1,14,FAW,0,12.57,2
M.pingshaense,C1,14,FAW,0,13.8,3
M.pingshaense,C1,14,FAW,1,10.1,4
M.pingshaense,C1,14,FAW,0,9.3,5
Metarhizium sp.FAW,C1,14,C.butyrospermi,0,0,1
Metarhizium sp.FAW,C1,14,C.butyrospermi,0,2.5,2
Metarhizium sp.FAW,C1,14,C.butyrospermi,1,0,3
Metarhizium sp.FAW,C1,14,C.butyrospermi,0,0,4
Metarhizium sp.FAW,C1,14,C.butyrospermi,0,0,5
Metarhizium sp.FAW,C1,14,FAW,0,0,1
Metarhizium sp.FAW,C1,14,FAW,0,0,2
Metarhizium sp.FAW,C1,14,FAW,0,0,3
Metarhizium sp.FAW,C1,14,FAW,0,0,4
Metarhizium sp.FAW,C1,14,FAW,0,0,5
Trichoderma sp.FAW,C1,14,C.butyrospermi,0,0,1
Trichoderma sp.FAW,C1,14,C.butyrospermi,0,0,2
Trichoderma sp.FAW,C1,14,C.butyrospermi,0,0,3
Trichoderma sp.FAW,C1,14,C.butyrospermi,0,0,4
Trichoderma sp.FAW,C1,14,C.butyrospermi,0,0,5
Trichoderma sp.FAW,C1,14,FAW,0,0,1
Trichoderma sp.FAW,C1,14,FAW,0,0,2
Trichoderma sp.FAW,C1,14,FAW,2,0,3
Trichoderma sp.FAW,C1,14,FAW,0,0,4
Trichoderma sp.FAW,C1,14,FAW,0,0,5
Control,Control,Alives,C.butyrospermi,22,17.9,1
Control,Control,Alives,C.butyrospermi,23,19.4,2
Control,Control,Alives,C.butyrospermi,21,18.5,3
Control,Control,Alives,C.butyrospermi,22,20.7,4
Control,Control,Alives,C.butyrospermi,24,24.8,5
Control,Control,Alives,FAW,24,16.5,1
Control,Control,Alives,FAW,20,14.8,2
Control,Control,Alives,FAW,23,12.7,3
Control,Control,Alives,FAW,21,12.5,4
Control,Control,Alives,FAW,20,14.9,5
M.pingshaense,C1,Alives,C.butyrospermi,10,8.6,1
M.pingshaense,C1,Alives,C.butyrospermi,14,18.5,2
M.pingshaense,C1,Alives,C.butyrospermi,10,14.5,3
M.pingshaense,C1,Alives,C.butyrospermi,14,21.2,4
M.pingshaense,C1,Alives,C.butyrospermi,13,21.7,5
M.pingshaense,C1,Alives,FAW,7,4.8,1
M.pingshaense,C1,Alives,FAW,11,12.38,2
M.pingshaense,C1,Alives,FAW,13,13.5,3
M.pingshaense,C1,Alives,FAW,9,9.1,4
M.pingshaense,C1,Alives,FAW,11,9.7,5
Metarhizium sp.FAW,C1,Alives,C.butyrospermi,0,0,1
Metarhizium sp.FAW,C1,Alives,C.butyrospermi,2,1.67,2
Metarhizium sp.FAW,C1,Alives,C.butyrospermi,1,0,3
Metarhizium sp.FAW,C1,Alives,C.butyrospermi,0,0,4
Metarhizium sp.FAW,C1,Alives,C.butyrospermi,0,0,5
Metarhizium sp.FAW,C1,Alives,FAW,0,0,1
Metarhizium sp.FAW,C1,Alives,FAW,0,0,2
Metarhizium sp.FAW,C1,Alives,FAW,0,0,3
Metarhizium sp.FAW,C1,Alives,FAW,0,0,4
Metarhizium sp.FAW,C1,Alives,FAW,1,0,5
Trichoderma sp.FAW,C1,Alives,C.butyrospermi,1,0,1
Trichoderma sp.FAW,C1,Alives,C.butyrospermi,0,0,2
Trichoderma sp.FAW,C1,Alives,C.butyrospermi,0,0,3
Trichoderma sp.FAW,C1,Alives,C.butyrospermi,0,0,4
Trichoderma sp.FAW,C1,Alives,C.butyrospermi,2,0,5
Trichoderma sp.FAW,C1,Alives,FAW,0,0,1
Trichoderma sp.FAW,C1,Alives,FAW,0,0,2
Trichoderma sp.FAW,C1,Alives,FAW,3,0,3
Trichoderma sp.FAW,C1,Alives,FAW,1,0,4
Trichoderma sp.FAW,C1,Alives,FAW,0,0,5
Insecticide,D0,0,C.butyrospermi,8,0,1
Insecticide,D0,0,C.butyrospermi,6,0,2
Insecticide,D0,0,C.butyrospermi,7,0,3
Insecticide,D0,0,C.butyrospermi,9,0,4
Insecticide,D0,0,C.butyrospermi,6,0,5
Insecticide,D0,0,FAW,12,0,1
Insecticide,D0,0,FAW,8,0,2
Insecticide,D0,0,FAW,8,0,3
Insecticide,D0,0,FAW,13,0,4
Insecticide,D0,0,FAW,16,0,5
Insecticide,D0,1,C.butyrospermi,11,11.3,1
Insecticide,D0,1,C.butyrospermi,6,13.4,2
Insecticide,D0,1,C.butyrospermi,9,16.4,3
Insecticide,D0,1,C.butyrospermi,6,23.4,4
Insecticide,D0,1,C.butyrospermi,5,24.6,5
Insecticide,D0,1,FAW,7,8.62,1
Insecticide,D0,1,FAW,7,9.78,2
Insecticide,D0,1,FAW,9,10.3,3
Insecticide,D0,1,FAW,5,7.55,4
Insecticide,D0,1,FAW,4,5.8,5
Insecticide,D0,2,C.butyrospermi,0,11.25,1
Insecticide,D0,2,C.butyrospermi,5,12.2,2
Insecticide,D0,2,C.butyrospermi,1,10.35,3
Insecticide,D0,2,C.butyrospermi,9,17.9,4
Insecticide,D0,2,C.butyrospermi,10,18.7,5
Insecticide,D0,2,FAW,0,9.65,1
Insecticide,D0,2,FAW,2,7.1,2
Insecticide,D0,2,FAW,0,7.7,3
Insecticide,D0,2,FAW,2,5.78,4
Insecticide,D0,2,FAW,3,3.6,5
Insecticide,D0,3,C.butyrospermi,1,10.96,1
Insecticide,D0,3,C.butyrospermi,1,11.3,2
Insecticide,D0,3,C.butyrospermi,2,9.45,3
Insecticide,D0,3,C.butyrospermi,0,1.4,4
Insecticide,D0,3,C.butyrospermi,2,3.7,5
Insecticide,D0,3,FAW,0,10.7,1
Insecticide,D0,3,FAW,0,7.2,2
Insecticide,D0,3,FAW,0,8.15,3
Insecticide,D0,3,FAW,2,4.8,4
Insecticide,D0,3,FAW,0,3.3,5
Insecticide,D0,4,C.butyrospermi,0,10.85,1
Insecticide,D0,4,C.butyrospermi,1,9.35,2
Insecticide,D0,4,C.butyrospermi,1,8.23,3
Insecticide,D0,4,C.butyrospermi,0,1.2,4
Insecticide,D0,4,C.butyrospermi,0,0,5
Insecticide,D0,4,FAW,2,6.55,1
Insecticide,D0,4,FAW,0,7.99,2
Insecticide,D0,4,FAW,0,7.97,3
Insecticide,D0,4,FAW,0,4.85,4
Insecticide,D0,4,FAW,0,3.55,5
Insecticide,D0,5,C.butyrospermi,0,10.82,1
Insecticide,D0,5,C.butyrospermi,0,9.05,2
Insecticide,D0,5,C.butyrospermi,0,8.2,3
Insecticide,D0,5,C.butyrospermi,1,1.1,4
Insecticide,D0,5,C.butyrospermi,0,0,5
Insecticide,D0,5,FAW,0,4.45,1
Insecticide,D0,5,FAW,0,7.94,2
Insecticide,D0,5,FAW,0,7.5,3
Insecticide,D0,5,FAW,0,4.7,4
Insecticide,D0,5,FAW,0,3.2,5
Insecticide,D0,6,C.butyrospermi,0,10.73,1
Insecticide,D0,6,C.butyrospermi,0,8,2
Insecticide,D0,6,C.butyrospermi,0,8.15,3
Insecticide,D0,6,C.butyrospermi,0,0,4
Insecticide,D0,6,C.butyrospermi,0,0,5
Insecticide,D0,6,FAW,0,4.76,1
Insecticide,D0,6,FAW,0,7.9,2
Insecticide,D0,6,FAW,0,7.8,3
Insecticide,D0,6,FAW,0,4.71,4
Insecticide,D0,6,FAW,0,3.3,5
Insecticide,D0,7,C.butyrospermi,0,10.71,1
Insecticide,D0,7,C.butyrospermi,0,8.4,2
Insecticide,D0,7,C.butyrospermi,0,7.4,3
Insecticide,D0,7,C.butyrospermi,0,0,4
Insecticide,D0,7,C.butyrospermi,1,0,5
Insecticide,D0,7,FAW,0,4.83,1
Insecticide,D0,7,FAW,0,7.78,2
Insecticide,D0,7,FAW,0,7.3,3
Insecticide,D0,7,FAW,0,4.3,4
Insecticide,D0,7,FAW,0,3.7,5
Insecticide,D0,8,C.butyrospermi,0,10.7,1
Insecticide,D0,8,C.butyrospermi,2,6.3,2
Insecticide,D0,8,C.butyrospermi,0,7.45,3
Insecticide,D0,8,C.butyrospermi,0,0,4
Insecticide,D0,8,C.butyrospermi,0,0,5
Insecticide,D0,8,FAW,0,4.7,1
Insecticide,D0,8,FAW,0,7.75,2
Insecticide,D0,8,FAW,0,7.4,3
Insecticide,D0,8,FAW,0,4.98,4
Insecticide,D0,8,FAW,0,3.6,5
Insecticide,D0,9,C.butyrospermi,0,10.68,1
Insecticide,D0,9,C.butyrospermi,0,6.5,2
Insecticide,D0,9,C.butyrospermi,0,7.2,3
Insecticide,D0,9,C.butyrospermi,0,0,4
Insecticide,D0,9,C.butyrospermi,0,0,5
Insecticide,D0,9,FAW,0,4.2,1
Insecticide,D0,9,FAW,0,7.72,2
Insecticide,D0,9,FAW,0,7,3
Insecticide,D0,9,FAW,0,5,4
Insecticide,D0,9,FAW,0,3.4,5
Insecticide,D0,10,C.butyrospermi,0,10.55,1
Insecticide,D0,10,C.butyrospermi,0,5.9,2
Insecticide,D0,10,C.butyrospermi,0,7.05,3
Insecticide,D0,10,C.butyrospermi,0,0,4
Insecticide,D0,10,C.butyrospermi,0,0,5
Insecticide,D0,10,FAW,0,4.84,1
Insecticide,D0,10,FAW,0,7.73,2
Insecticide,D0,10,FAW,0,7.94,3
Insecticide,D0,10,FAW,0,4.4,4
Insecticide,D0,10,FAW,0,3.9,5
Insecticide,D0,11,C.butyrospermi,0,10.5,1
Insecticide,D0,11,C.butyrospermi,0,5.85,2
Insecticide,D0,11,C.butyrospermi,1,7.15,3
Insecticide,D0,11,C.butyrospermi,0,0,4
Insecticide,D0,11,C.butyrospermi,0,0,5
Insecticide,D0,11,FAW,0,4.82,1
Insecticide,D0,11,FAW,0,7.5,2
Insecticide,D0,11,FAW,0,7.84,3
Insecticide,D0,11,FAW,0,4.3,4
Insecticide,D0,11,FAW,0,3.8,5
Insecticide,D0,12,C.butyrospermi,0,10.46,1
Insecticide,D0,12,C.butyrospermi,0,5.72,2
Insecticide,D0,12,C.butyrospermi,0,7,3
Insecticide,D0,12,C.butyrospermi,0,0,4
Insecticide,D0,12,C.butyrospermi,0,0,5
Insecticide,D0,12,FAW,0,4.9,1
Insecticide,D0,12,FAW,0,7.5,2
Insecticide,D0,12,FAW,0,7.85,3
Insecticide,D0,12,FAW,0,4.5,4
Insecticide,D0,12,FAW,0,3.2,5
Insecticide,D0,13,C.butyrospermi,0,10.48,1
Insecticide,D0,13,C.butyrospermi,1,4.92,2
Insecticide,D0,13,C.butyrospermi,0,7.3,3
Insecticide,D0,13,C.butyrospermi,0,0,4
Insecticide,D0,13,C.butyrospermi,0,0,5
Insecticide,D0,13,FAW,0,4.95,1
Insecticide,D0,13,FAW,0,7.45,2
Insecticide,D0,13,FAW,0,7.9,3
Insecticide,D0,13,FAW,0,4.4,4
Insecticide,D0,13,FAW,0,3.68,5
Insecticide,D0,14,C.butyrospermi,0,10.41,1
Insecticide,D0,14,C.butyrospermi,0,3.85,2
Insecticide,D0,14,C.butyrospermi,0,7.45,3
Insecticide,D0,14,C.butyrospermi,0,0,4
Insecticide,D0,14,C.butyrospermi,0,0,5
Insecticide,D0,14,FAW,0,4.79,1
Insecticide,D0,14,FAW,0,7.3,2
Insecticide,D0,14,FAW,0,7.9,3
Insecticide,D0,14,FAW,0,4.4,4
Insecticide,D0,14,FAW,0,3.65,5
Insecticide,D0,Alives,C.butyrospermi,5,10.32,1
Insecticide,D0,Alives,C.butyrospermi,2,3.25,2
Insecticide,D0,Alives,C.butyrospermi,4,8.25,3
Insecticide,D0,Alives,C.butyrospermi,0,0,4
Insecticide,D0,Alives,C.butyrospermi,1,0,5
Insecticide,D0,Alives,FAW,4,4.95,1
Insecticide,D0,Alives,FAW,7,7.2,2
Insecticide,D0,Alives,FAW,8,7.95,3
Insecticide,D0,Alives,FAW,3,4.4,4
Insecticide,D0,Alives,FAW,2,3.75,5
M.pingshaense,C2,0,C.butyrospermi,0,0,1
M.pingshaense,C2,0,C.butyrospermi,0,29.8,2
M.pingshaense,C2,0,C.butyrospermi,0,29.2,3
M.pingshaense,C2,0,C.butyrospermi,0,30.3,4
M.pingshaense,C2,0,C.butyrospermi,0,27.5,5
M.pingshaense,C2,0,FAW,0,17.4,1
M.pingshaense,C2,0,FAW,0,19.65,2
M.pingshaense,C2,0,FAW,0,20.2,3
M.pingshaense,C2,0,FAW,0,18.5,4
M.pingshaense,C2,0,FAW,0,16.4,5
Metarhizium sp.FAW,C2,0,C.butyrospermi,0,0,1
Metarhizium sp.FAW,C2,0,C.butyrospermi,0,0,2
Metarhizium sp.FAW,C2,0,C.butyrospermi,0,0,3
Metarhizium sp.FAW,C2,0,C.butyrospermi,0,0,4
Metarhizium sp.FAW,C2,0,C.butyrospermi,0,0,5
Metarhizium sp.FAW,C2,0,FAW,0,0,1
Metarhizium sp.FAW,C2,0,FAW,0,0,2
Metarhizium sp.FAW,C2,0,FAW,0,0,3
Metarhizium sp.FAW,C2,0,FAW,0,0,4
Metarhizium sp.FAW,C2,0,FAW,0,0,5
Trichoderma sp.FAW,C2,0,C.butyrospermi,0,0,1
Trichoderma sp.FAW,C2,0,C.butyrospermi,0,0,2
Trichoderma sp.FAW,C2,0,C.butyrospermi,0,0,3
Trichoderma sp.FAW,C2,0,C.butyrospermi,0,30.2,4
Trichoderma sp.FAW,C2,0,C.butyrospermi,0,0,5
Trichoderma sp.FAW,C2,0,FAW,0,0,1
Trichoderma sp.FAW,C2,0,FAW,0,0,2
Trichoderma sp.FAW,C2,0,FAW,0,0,3
Trichoderma sp.FAW,C2,0,FAW,0,17.4,4
Trichoderma sp.FAW,C2,0,FAW,0,0,5
M.pingshaense,C2,1,C.butyrospermi,0,30.54,1
M.pingshaense,C2,1,C.butyrospermi,0,30.34,2
M.pingshaense,C2,1,C.butyrospermi,0,29.1,3
M.pingshaense,C2,1,C.butyrospermi,0,29.9,4
M.pingshaense,C2,1,C.butyrospermi,0,27.3,5
M.pingshaense,C2,1,FAW,0,17.2,1
M.pingshaense,C2,1,FAW,0,19.65,2
M.pingshaense,C2,1,FAW,0,19.8,3
M.pingshaense,C2,1,FAW,0,18.2,4
M.pingshaense,C2,1,FAW,0,16.2,5
Metarhizium sp.FAW,C2,1,C.butyrospermi,0,28.9,1
Metarhizium sp.FAW,C2,1,C.butyrospermi,0,30.2,2
Metarhizium sp.FAW,C2,1,C.butyrospermi,0,29.1,3
Metarhizium sp.FAW,C2,1,C.butyrospermi,0,28.76,4
Metarhizium sp.FAW,C2,1,C.butyrospermi,0,30.2,5
Metarhizium sp.FAW,C2,1,FAW,0,18.4,1
Metarhizium sp.FAW,C2,1,FAW,0,18.91,2
Metarhizium sp.FAW,C2,1,FAW,0,18.49,3
Metarhizium sp.FAW,C2,1,FAW,0,18.5,4
Metarhizium sp.FAW,C2,1,FAW,0,18.55,5
Trichoderma sp.FAW,C2,1,C.butyrospermi,0,32.3,1
Trichoderma sp.FAW,C2,1,C.butyrospermi,0,29.5,2
Trichoderma sp.FAW,C2,1,C.butyrospermi,0,29.8,3
Trichoderma sp.FAW,C2,1,C.butyrospermi,0,27.3,4
Trichoderma sp.FAW,C2,1,C.butyrospermi,0,28.4,5
Trichoderma sp.FAW,C2,1,FAW,0,18.7,1
Trichoderma sp.FAW,C2,1,FAW,0,17.4,2
Trichoderma sp.FAW,C2,1,FAW,0,19.7,3
Trichoderma sp.FAW,C2,1,FAW,0,15.3,4
Trichoderma sp.FAW,C2,1,FAW,0,18.38,5
M.pingshaense,C2,2,C.butyrospermi,0,30.6,1
M.pingshaense,C2,2,C.butyrospermi,0,30.1,2
M.pingshaense,C2,2,C.butyrospermi,0,28.9,3
M.pingshaense,C2,2,C.butyrospermi,0,29.7,4
M.pingshaense,C2,2,C.butyrospermi,0,27.4,5
M.pingshaense,C2,2,FAW,0,16.3,1
M.pingshaense,C2,2,FAW,0,19.37,2
M.pingshaense,C2,2,FAW,0,19.9,3
M.pingshaense,C2,2,FAW,1,17.7,4
M.pingshaense,C2,2,FAW,0,16.12,5
Metarhizium sp.FAW,C2,2,C.butyrospermi,1,27.8,1
Metarhizium sp.FAW,C2,2,C.butyrospermi,0,29.2,2
Metarhizium sp.FAW,C2,2,C.butyrospermi,0,28.2,3
Metarhizium sp.FAW,C2,2,C.butyrospermi,0,28.1,4
Metarhizium sp.FAW,C2,2,C.butyrospermi,0,28.3,5
Metarhizium sp.FAW,C2,2,FAW,0,18.2,1
Metarhizium sp.FAW,C2,2,FAW,1,16.43,2
Metarhizium sp.FAW,C2,2,FAW,0,16.24,3
Metarhizium sp.FAW,C2,2,FAW,0,18.1,4
Metarhizium sp.FAW,C2,2,FAW,0,16.28,5
Trichoderma sp.FAW,C2,2,C.butyrospermi,0,31.2,1
Trichoderma sp.FAW,C2,2,C.butyrospermi,0,24.3,2
Trichoderma sp.FAW,C2,2,C.butyrospermi,0,25.4,3
Trichoderma sp.FAW,C2,2,C.butyrospermi,0,21.23,4
Trichoderma sp.FAW,C2,2,C.butyrospermi,1,26.5,5
Trichoderma sp.FAW,C2,2,FAW,1,18.4,1
Trichoderma sp.FAW,C2,2,FAW,0,16.3,2
Trichoderma sp.FAW,C2,2,FAW,0,19.1,3
Trichoderma sp.FAW,C2,2,FAW,1,12.4,4
Trichoderma sp.FAW,C2,2,FAW,1,16.4,5
M.pingshaense,C2,3,C.butyrospermi,0,30.3,1
M.pingshaense,C2,3,C.butyrospermi,1,29.6,2
M.pingshaense,C2,3,C.butyrospermi,0,28.9,3
M.pingshaense,C2,3,C.butyrospermi,0,29.1,4
M.pingshaense,C2,3,C.butyrospermi,0,28.7,5
M.pingshaense,C2,3,FAW,0,16.8,1
M.pingshaense,C2,3,FAW,0,19.26,2
M.pingshaense,C2,3,FAW,0,18.9,3
M.pingshaense,C2,3,FAW,1,16.8,4
M.pingshaense,C2,3,FAW,0,16,5
Metarhizium sp.FAW,C2,3,C.butyrospermi,1,24.46,1
Metarhizium sp.FAW,C2,3,C.butyrospermi,0,27.8,2
Metarhizium sp.FAW,C2,3,C.butyrospermi,1,27.4,3
Metarhizium sp.FAW,C2,3,C.butyrospermi,2,26.4,4
Metarhizium sp.FAW,C2,3,C.butyrospermi,3,24.7,5
Metarhizium sp.FAW,C2,3,FAW,2,17.3,1
Metarhizium sp.FAW,C2,3,FAW,2,12.38,2
Metarhizium sp.FAW,C2,3,FAW,1,14.32,3
Metarhizium sp.FAW,C2,3,FAW,1,12.4,4
Metarhizium sp.FAW,C2,3,FAW,1,14.24,5
Trichoderma sp.FAW,C2,3,C.butyrospermi,1,29.2,1
Trichoderma sp.FAW,C2,3,C.butyrospermi,2,21.3,2
Trichoderma sp.FAW,C2,3,C.butyrospermi,1,21.93,3
Trichoderma sp.FAW,C2,3,C.butyrospermi,1,19.4,4
Trichoderma sp.FAW,C2,3,C.butyrospermi,1,29.4,5
Trichoderma sp.FAW,C2,3,FAW,0,18.5,1
Trichoderma sp.FAW,C2,3,FAW,0,16.2,2
Trichoderma sp.FAW,C2,3,FAW,1,15.3,3
Trichoderma sp.FAW,C2,3,FAW,1,11.4,4
Trichoderma sp.FAW,C2,3,FAW,2,12.7,5
M.pingshaense,C2,4,C.butyrospermi,0,29.8,1
M.pingshaense,C2,4,C.butyrospermi,1,28.41,2
M.pingshaense,C2,4,C.butyrospermi,1,27.7,3
M.pingshaense,C2,4,C.butyrospermi,0,28.3,4
M.pingshaense,C2,4,C.butyrospermi,0,28.4,5
M.pingshaense,C2,4,FAW,1,15.9,1
M.pingshaense,C2,4,FAW,1,18.7,2
M.pingshaense,C2,4,FAW,1,18.1,3
M.pingshaense,C2,4,FAW,1,16,4
M.pingshaense,C2,4,FAW,1,15.89,5
Metarhizium sp.FAW,C2,4,C.butyrospermi,1,21.2,1
Metarhizium sp.FAW,C2,4,C.butyrospermi,1,25.3,2
Metarhizium sp.FAW,C2,4,C.butyrospermi,0,25.3,3
Metarhizium sp.FAW,C2,4,C.butyrospermi,3,21.2,4
Metarhizium sp.FAW,C2,4,C.butyrospermi,1,20.3,5
Metarhizium sp.FAW,C2,4,FAW,4,15.2,1
Metarhizium sp.FAW,C2,4,FAW,2,11.6,2
Metarhizium sp.FAW,C2,4,FAW,2,10.4,3
Metarhizium sp.FAW,C2,4,FAW,1,11.2,4
Metarhizium sp.FAW,C2,4,FAW,2,9.25,5
Trichoderma sp.FAW,C2,4,C.butyrospermi,0,22.4,1
Trichoderma sp.FAW,C2,4,C.butyrospermi,1,19.74,2
Trichoderma sp.FAW,C2,4,C.butyrospermi,2,17.3,3
Trichoderma sp.FAW,C2,4,C.butyrospermi,1,16.3,4
Trichoderma sp.FAW,C2,4,C.butyrospermi,1,25.2,5
Trichoderma sp.FAW,C2,4,FAW,2,15.3,1
Trichoderma sp.FAW,C2,4,FAW,3,11.6,2
Trichoderma sp.FAW,C2,4,FAW,1,15.3,3
Trichoderma sp.FAW,C2,4,FAW,4,10.3,4
Trichoderma sp.FAW,C2,4,FAW,1,10.9,5
M.pingshaense,C2,5,C.butyrospermi,1,29.52,1
M.pingshaense,C2,5,C.butyrospermi,0,28.3,2
M.pingshaense,C2,5,C.butyrospermi,1,26.1,3
M.pingshaense,C2,5,C.butyrospermi,0,28.4,4
M.pingshaense,C2,5,C.butyrospermi,0,28.5,5
M.pingshaense,C2,5,FAW,2,14.7,1
M.pingshaense,C2,5,FAW,0,18.9,2
M.pingshaense,C2,5,FAW,1,17.3,3
M.pingshaense,C2,5,FAW,0,16.2,4
M.pingshaense,C2,5,FAW,1,15.3,5
Metarhizium sp.FAW,C2,5,C.butyrospermi,2,18.56,1
Metarhizium sp.FAW,C2,5,C.butyrospermi,1,23.2,2
Metarhizium sp.FAW,C2,5,C.butyrospermi,2,21.4,3
Metarhizium sp.FAW,C2,5,C.butyrospermi,2,18.1,4
Metarhizium sp.FAW,C2,5,C.butyrospermi,1,17.4,5
Metarhizium sp.FAW,C2,5,FAW,6,11.35,1
Metarhizium sp.FAW,C2,5,FAW,2,2.58,2
Metarhizium sp.FAW,C2,5,FAW,2,3.4,3
Metarhizium sp.FAW,C2,5,FAW,2,10.2,4
Metarhizium sp.FAW,C2,5,FAW,2,0,5
Trichoderma sp.FAW,C2,5,C.butyrospermi,2,16.15,1
Trichoderma sp.FAW,C2,5,C.butyrospermi,2,17.34,2
Trichoderma sp.FAW,C2,5,C.butyrospermi,2,12.4,3
Trichoderma sp.FAW,C2,5,C.butyrospermi,2,13.4,4
Trichoderma sp.FAW,C2,5,C.butyrospermi,0,21.2,5
Trichoderma sp.FAW,C2,5,FAW,2,11.3,1
Trichoderma sp.FAW,C2,5,FAW,2,9.54,2
Trichoderma sp.FAW,C2,5,FAW,2,12.4,3
Trichoderma sp.FAW,C2,5,FAW,3,8.9,4
Trichoderma sp.FAW,C2,5,FAW,2,9.5,5
M.pingshaense,C2,6,C.butyrospermi,1,29.5,1
M.pingshaense,C2,6,C.butyrospermi,1,26.3,2
M.pingshaense,C2,6,C.butyrospermi,1,25.2,3
M.pingshaense,C2,6,C.butyrospermi,0,28.6,4
M.pingshaense,C2,6,C.butyrospermi,0,27.9,5
M.pingshaense,C2,6,FAW,1,14.8,1
M.pingshaense,C2,6,FAW,1,18.2,2
M.pingshaense,C2,6,FAW,2,16,3
