Treatment,Concentration ,Days post infection,Insect.Species,Mortality,Wastes,Replicates
Trichoderma sp.FAW,C1,2,FAW,0,18.4,2
Trichoderma sp.FAW,C1,2,FAW,0,15.67,3
Trichoderma sp.FAW,C1,2,FAW,2,15.2,4
Trichoderma sp.FAW,C1,2,FAW,1,17.4,5
Control,Control,3,C.butyrospermi,0,25.6,1
Control,Control,3,C.butyrospermi,1,21.8,2
Control,Control,3,C.butyrospermi,2,19.7,3
Control,Control,3,C.butyrospermi,0,23.7,4
Control,Control,3,C.butyrospermi,0,25.9,5
Control,Control,3,FAW,0,19.4,1
Control,Control,3,FAW,0,20.5,2
Control,Control,3,FAW,0,15.3,3
Control,Control,3,FAW,0,15.3,4
Control,Control,3,FAW,0,17.6,5
M.pingshaense,C1,3,C.butyrospermi,0,23.45,1
M.pingshaense,C1,3,C.butyrospermi,1,30.8,2
M.pingshaense,C1,3,C.butyrospermi,1,28.4,3
M.pingshaense,C1,3,C.butyrospermi,0,32.45,4
M.pingshaense,C1,3,C.butyrospermi,2,29.67,5
M.pingshaense,C1,3,FAW,2,19.8,1
M.pingshaense,C1,3,FAW,1,19.7,2
M.pingshaense,C1,3,FAW,3,17.7,3
M.pingshaense,C1,3,FAW,2,16.5,4
M.pingshaense,C1,3,FAW,1,13.3,5
Metarhizium sp.FAW,C1,3,C.butyrospermi,0,21.5,1
Metarhizium sp.FAW,C1,3,C.butyrospermi,3,21.4,2
Metarhizium sp.FAW,C1,3,C.butyrospermi,2,18.4,3
Metarhizium sp.FAW,C1,3,C.butyrospermi,0,28.4,4
Metarhizium sp.FAW,C1,3,C.butyrospermi,0,29.4,5
Metarhizium sp.FAW,C1,3,FAW,4,5.65,1
Metarhizium sp.FAW,C1,3,FAW,6,13.4,2
Metarhizium sp.FAW,C1,3,FAW,0,17.7,3
Metarhizium sp.FAW,C1,3,FAW,1,13.8,4
Metarhizium sp.FAW,C1,3,FAW,1,14.39,5
Trichoderma sp.FAW,C1,3,C.butyrospermi,1,29.75,1
Trichoderma sp.FAW,C1,3,C.butyrospermi,3,24.2,2
Trichoderma sp.FAW,C1,3,C.butyrospermi,2,26.4,3
Trichoderma sp.FAW,C1,3,C.butyrospermi,1,23.56,4
Trichoderma sp.FAW,C1,3,C.butyrospermi,3,23.2,5
Trichoderma sp.FAW,C1,3,FAW,0,12,1
Trichoderma sp.FAW,C1,3,FAW,4,13.4,2
Trichoderma sp.FAW,C1,3,FAW,1,14.3,3
Trichoderma sp.FAW,C1,3,FAW,2,13.2,4
Trichoderma sp.FAW,C1,3,FAW,2,16.78,5
Control,Control,4,C.butyrospermi,0,26.2,1
Control,Control,4,C.butyrospermi,0,22,2
Control,Control,4,C.butyrospermi,0,19.4,3
Control,Control,4,C.butyrospermi,1,22.4,4
Control,Control,4,C.butyrospermi,0,25.7,5
Control,Control,4,FAW,0,18.8,1
Control,Control,4,FAW,1,19.2,2
Control,Control,4,FAW,0,15.1,3
Control,Control,4,FAW,0,15.7,4
Control,Control,4,FAW,0,17.6,5
M.pingshaense,C1,4,C.butyrospermi,1,21.35,1
M.pingshaense,C1,4,C.butyrospermi,3,26.8,2
M.pingshaense,C1,4,C.butyrospermi,1,28.2,3
M.pingshaense,C1,4,C.butyrospermi,0,32.2,4
M.pingshaense,C1,4,C.butyrospermi,1,28.2,5
M.pingshaense,C1,4,FAW,2,17.6,1
M.pingshaense,C1,4,FAW,0,19.6,2
M.pingshaense,C1,4,FAW,1,17.5,3
M.pingshaense,C1,4,FAW,1,16.1,4
M.pingshaense,C1,4,FAW,1,12.4,5
Metarhizium sp.FAW,C1,4,C.butyrospermi,4,13.4,1
Metarhizium sp.FAW,C1,4,C.butyrospermi,5,16.4,2
Metarhizium sp.FAW,C1,4,C.butyrospermi,3,15.3,3
Metarhizium sp.FAW,C1,4,C.butyrospermi,4,23.4,4
Metarhizium sp.FAW,C1,4,C.butyrospermi,9,17.2,5
Metarhizium sp.FAW,C1,4,FAW,9,1.36,1
Metarhizium sp.FAW,C1,4,FAW,9,9.6,2
Metarhizium sp.FAW,C1,4,FAW,4,6.83,3
Metarhizium sp.FAW,C1,4,FAW,6,7.4,4
Metarhizium sp.FAW,C1,4,FAW,1,7.23,5
Trichoderma sp.FAW,C1,4,C.butyrospermi,5,20.14,1
Trichoderma sp.FAW,C1,4,C.butyrospermi,1,10.34,2
Trichoderma sp.FAW,C1,4,C.butyrospermi,1,24.3,3
Trichoderma sp.FAW,C1,4,C.butyrospermi,6,14.3,4
Trichoderma sp.FAW,C1,4,C.butyrospermi,2,19.2,5
Trichoderma sp.FAW,C1,4,FAW,1,0,1
Trichoderma sp.FAW,C1,4,FAW,7,8.4,2
Trichoderma sp.FAW,C1,4,FAW,2,11.3,3
Trichoderma sp.FAW,C1,4,FAW,0,11.4,4
Trichoderma sp.FAW,C1,4,FAW,3,14.64,5
Control,Control,5,C.butyrospermi,0,22.4,1
Control,Control,5,C.butyrospermi,0,21.9,2
Control,Control,5,C.butyrospermi,0,20.1,3
Control,Control,5,C.butyrospermi,0,22.6,4
Control,Control,5,C.butyrospermi,0,25.6,5
Control,Control,5,FAW,0,18.7,1
Control,Control,5,FAW,0,19.2,2
Control,Control,5,FAW,0,15.4,3
Control,Control,5,FAW,1,14.8,4
Control,Control,5,FAW,2,15.1,5
M.pingshaense,C1,5,C.butyrospermi,1,20.3,1
M.pingshaense,C1,5,C.butyrospermi,0,26.4,2
M.pingshaense,C1,5,C.butyrospermi,0,28.1,3
M.pingshaense,C1,5,C.butyrospermi,1,31.4,4
M.pingshaense,C1,5,C.butyrospermi,0,28.1,5
M.pingshaense,C1,5,FAW,0,17.4,1
M.pingshaense,C1,5,FAW,0,19.4,2
M.pingshaense,C1,5,FAW,0,17.3,3
M.pingshaense,C1,5,FAW,4,14.1,4
M.pingshaense,C1,5,FAW,2,10.8,5
Metarhizium sp.FAW,C1,5,C.butyrospermi,5,8.34,1
Metarhizium sp.FAW,C1,5,C.butyrospermi,1,15.14,2
Metarhizium sp.FAW,C1,5,C.butyrospermi,4,14.5,3
Metarhizium sp.FAW,C1,5,C.butyrospermi,7,21.2,4
Metarhizium sp.FAW,C1,5,C.butyrospermi,2,12.4,5
Metarhizium sp.FAW,C1,5,FAW,8,0,1
Metarhizium sp.FAW,C1,5,FAW,4,0,2
Metarhizium sp.FAW,C1,5,FAW,15,2.92,3
Metarhizium sp.FAW,C1,5,FAW,7,2.87,4
Metarhizium sp.FAW,C1,5,FAW,5,1.27,5
Trichoderma sp.FAW,C1,5,C.butyrospermi,6,14.39,1
Trichoderma sp.FAW,C1,5,C.butyrospermi,0,7.9,2
Trichoderma sp.FAW,C1,5,C.butyrospermi,1,19.2,3
Trichoderma sp.FAW,C1,5,C.butyrospermi,4,11.3,4
Trichoderma sp.FAW,C1,5,C.butyrospermi,4,13.3,5
Trichoderma sp.FAW,C1,5,FAW,3,0,1
Trichoderma sp.FAW,C1,5,FAW,0,2.2,2
Trichoderma sp.FAW,C1,5,FAW,3,9.5,3
Trichoderma sp.FAW,C1,5,FAW,1,10.2,4
Trichoderma sp.FAW,C1,5,FAW,6,0,5
Control,Control,6,C.butyrospermi,0,23.7,1
Control,Control,6,C.butyrospermi,0,22.1,2
Control,Control,6,C.butyrospermi,0,19.9,3
Control,Control,6,C.butyrospermi,0,22.3,4
Control,Control,6,C.butyrospermi,0,25.7,5
Control,Control,6,FAW,0,18.6,1
Control,Control,6,FAW,0,18.8,2
Control,Control,6,FAW,1,14.7,3
Control,Control,6,FAW,0,14.6,4
Control,Control,6,FAW,0,15,5
M.pingshaense,C1,6,C.butyrospermi,4,15.9,1
M.pingshaense,C1,6,C.butyrospermi,2,24.5,2
M.pingshaense,C1,6,C.butyrospermi,1,26.6,3
M.pingshaense,C1,6,C.butyrospermi,2,29.2,4
M.pingshaense,C1,6,C.butyrospermi,0,27.6,5
M.pingshaense,C1,6,FAW,2,16.8,1
M.pingshaense,C1,6,FAW,0,19.2,2
M.pingshaense,C1,6,FAW,0,17.2,3
M.pingshaense,C1,6,FAW,2,13.4,4
M.pingshaense,C1,6,FAW,3,10.3,5
Metarhizium sp.FAW,C1,6,C.butyrospermi,3,0,1
Metarhizium sp.FAW,C1,6,C.butyrospermi,3,13.1,2
Metarhizium sp.FAW,C1,6,C.butyrospermi,0,0,3
Metarhizium sp.FAW,C1,6,C.butyrospermi,3,16.4,4
Metarhizium sp.FAW,C1,6,C.butyrospermi,7,10.5,5
Metarhizium sp.FAW,C1,6,FAW,0,0,1
Metarhizium sp.FAW,C1,6,FAW,6,0,2
Metarhizium sp.FAW,C1,6,FAW,3,0,3
Metarhizium sp.FAW,C1,6,FAW,9,0,4
Metarhizium sp.FAW,C1,6,FAW,7,0,5
Trichoderma sp.FAW,C1,6,C.butyrospermi,4,9.3,1
Trichoderma sp.FAW,C1,6,C.butyrospermi,8,3.8,2
Trichoderma sp.FAW,C1,6,C.butyrospermi,8,17.3,3
Trichoderma sp.FAW,C1,6,C.butyrospermi,3,10.4,4
Trichoderma sp.FAW,C1,6,C.butyrospermi,3,0,5
Trichoderma sp.FAW,C1,6,FAW,5,0,1
Trichoderma sp.FAW,C1,6,FAW,3,0,2
Trichoderma sp.FAW,C1,6,FAW,0,0,3
Trichoderma sp.FAW,C1,6,FAW,0,0,4
Trichoderma sp.FAW,C1,6,FAW,5,0,5
Control,Control,7,C.butyrospermi,0,23.9,1
Control,Control,7,C.butyrospermi,0,22.4,2
Control,Control,7,C.butyrospermi,0,19.8,3
Control,Control,7,C.butyrospermi,0,22.2,4
Control,Control,7,C.butyrospermi,0,25.5,5
Control,Control,7,FAW,1,17.1,1
Control,Control,7,FAW,0,18.3,2
Control,Control,7,FAW,1,14.2,3
Control,Control,7,FAW,0,14.6,4
Control,Control,7,FAW,1,14.9,5
M.pingshaense,C1,7,C.butyrospermi,2,13.8,1
M.pingshaense,C1,7,C.butyrospermi,0,24.3,2
M.pingshaense,C1,7,C.butyrospermi,4,21.87,3
M.pingshaense,C1,7,C.butyrospermi,1,28.4,4
M.pingshaense,C1,7,C.butyrospermi,2,26.6,5
M.pingshaense,C1,7,FAW,1,13.9,1
M.pingshaense,C1,7,FAW,3,17.2,2
M.pingshaense,C1,7,FAW,4,15.6,3
M.pingshaense,C1,7,FAW,1,12.4,4
M.pingshaense,C1,7,FAW,0,10.3,5
Metarhizium sp.FAW,C1,7,C.butyrospermi,0,0,1
Metarhizium sp.FAW,C1,7,C.butyrospermi,3,11.2,2
Metarhizium sp.FAW,C1,7,C.butyrospermi,5,0,3
Metarhizium sp.FAW,C1,7,C.butyrospermi,6,8.4,4
Metarhizium sp.FAW,C1,7,C.butyrospermi,6,7.3,5
Metarhizium sp.FAW,C1,7,FAW,1,0,1
Metarhizium sp.FAW,C1,7,FAW,0,0,2
Metarhizium sp.FAW,C1,7,FAW,3,0,3
Metarhizium sp.FAW,C1,7,FAW,0,0,4
Metarhizium sp.FAW,C1,7,FAW,7,0,5
Trichoderma sp.FAW,C1,7,C.butyrospermi,1,0,1
Trichoderma sp.FAW,C1,7,C.butyrospermi,6,0,2
Trichoderma sp.FAW,C1,7,C.butyrospermi,6,0,3
Trichoderma sp.FAW,C1,7,C.butyrospermi,9,0,4
Trichoderma sp.FAW,C1,7,C.butyrospermi,0,0,5
Trichoderma sp.FAW,C1,7,FAW,4,0,1
Trichoderma sp.FAW,C1,7,FAW,9,0,2
Trichoderma sp.FAW,C1,7,FAW,5,0,3
Trichoderma sp.FAW,C1,7,FAW,10,0,4
Trichoderma sp.FAW,C1,7,FAW,4,0,5
Control,Control,8,C.butyrospermi,0,22.6,1
Control,Control,8,C.butyrospermi,0,22.3,2
Control,Control,8,C.butyrospermi,1,18.8,3
Control,Control,8,C.butyrospermi,0,22.1,4
Control,Control,8,C.butyrospermi,0,25.3,5
Control,Control,8,FAW,0,17.6,1
Control,Control,8,FAW,1,17.2,2
Control,Control,8,FAW,0,13.9,3
Control,Control,8,FAW,1,13.5,4
Control,Control,8,FAW,0,14.8,5
M.pingshaense,C1,8,C.butyrospermi,3,11.4,1
M.pingshaense,C1,8,C.butyrospermi,3,22.25,2
M.pingshaense,C1,8,C.butyrospermi,3,17.3,3
M.pingshaense,C1,8,C.butyrospermi,2,26.3,4
M.pingshaense,C1,8,C.butyrospermi,2,26.3,5
M.pingshaense,C1,8,FAW,4,10.3,1
M.pingshaense,C1,8,FAW,7,13.4,2
M.pingshaense,C1,8,FAW,0,15.2,3
M.pingshaense,C1,8,FAW,3,11.6,4
M.pingshaense,C1,8,FAW,0,10.1,5
Metarhizium sp.FAW,C1,8,C.butyrospermi,8,1.5,1
Metarhizium sp.FAW,C1,8,C.butyrospermi,1,11.15,2
Metarhizium sp.FAW,C1,8,C.butyrospermi,1,0,3
Metarhizium sp.FAW,C1,8,C.butyrospermi,1,1.3,4
Metarhizium sp.FAW,C1,8,C.butyrospermi,1,4.48,5
Metarhizium sp.FAW,C1,8,FAW,0,0,1
Metarhizium sp.FAW,C1,8,FAW,0,0,2
Metarhizium sp.FAW,C1,8,FAW,0,0,3
Metarhizium sp.FAW,C1,8,FAW,0,0,4
Metarhizium sp.FAW,C1,8,FAW,2,0,5
Trichoderma sp.FAW,C1,8,C.butyrospermi,3,0,1
Trichoderma sp.FAW,C1,8,C.butyrospermi,3,0,2
Trichoderma sp.FAW,C1,8,C.butyrospermi,2,0,3
Trichoderma sp.FAW,C1,8,C.butyrospermi,0,0,4
Trichoderma sp.FAW,C1,8,C.butyrospermi,0,0,5
Trichoderma sp.FAW,C1,8,FAW,6,0,1
Trichoderma sp.FAW,C1,8,FAW,1,0,2
Trichoderma sp.FAW,C1,8,FAW,1,0,3
Trichoderma sp.FAW,C1,8,FAW,3,0,4
Trichoderma sp.FAW,C1,8,FAW,2,0,5
Control,Control,9,C.butyrospermi,0,21.5,1
Control,Control,9,C.butyrospermi,0,22.2,2
Control,Control,9,C.butyrospermi,0,18.9,3
Control,Control,9,C.butyrospermi,0,22.4,4
Control,Control,9,C.butyrospermi,0,25.4,5
Control,Control,9,FAW,0,17.2,1
Control,Control,9,FAW,0,17.4,2
Control,Control,9,FAW,0,13.8,3
Control,Control,9,FAW,0,13.1,4
